datetime,timestamp,user,src,out,time
2023-04-27 00:02:44,1682553764,AM***-4BFG,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553764
2023-04-27 00:02:45,1682553765,SB***-ADUQ,Anubis Collection Package,M249 | Submerged,1682553765
2023-04-27 00:02:45,1682553765,A6***-VPGQ,伽玛武器箱,AUG | 贵族,1682553765
2023-04-27 00:02:45,1682553765,AF***-RRAG,“突围大行动”武器箱,PP-野牛（StatTrak™） | 死亡主宰者,1682553765
2023-04-27 00:02:46,1682553766,AZ***-9HEE,裂空武器箱,SSG 08 | 主机001,1682553766
2023-04-27 00:02:47,1682553767,AR***-BBPL,Anubis Collection Package,MAC-10 | Echoing Sands,1682553767
2023-04-27 00:02:49,1682553769,SF***-Z3EQ,裂空武器箱,SG 553 | 锈蚀之刃,1682553769
2023-04-27 00:02:50,1682553770,AS***-YYDQ,裂空武器箱,SSG 08 | 主机001,1682553770
2023-04-27 00:02:52,1682553772,SJ***-VECA,变革武器箱,MAC-10 | 错觉,1682553772
2023-04-27 00:02:52,1682553772,AK***-78NN,Anubis Collection Package,AUG | Snake Pit,1682553772
2023-04-27 00:02:55,1682553775,AM***-4BFG,Anubis Collection Package,AUG | Snake Pit,1682553775
2023-04-27 00:02:56,1682553776,A3***-LYSN,Anubis Collection Package,MP7 | Sunbaked,1682553776
2023-04-27 00:02:57,1682553777,SB***-ADUQ,Anubis Collection Package,XM1014 | Hieroglyph,1682553777
2023-04-27 00:02:57,1682553777,A6***-VPGQ,伽玛武器箱,SG 553 | 轻空,1682553777
2023-04-27 00:03:04,1682553784,AK***-78NN,Anubis Collection Package,XM1014 | Hieroglyph,1682553784
2023-04-27 00:03:04,1682553784,SP***-DUXN,Anubis Collection Package,USP 消音版 | Desert Tactical,1682553784
2023-04-27 00:03:05,1682553785,AM***-4BFG,Anubis Collection Package,SSG 08 | Azure Glyph,1682553785
2023-04-27 00:03:06,1682553786,A3***-LYSN,Anubis Collection Package,M249 | Submerged,1682553786
2023-04-27 00:03:06,1682553786,SB***-ADUQ,Anubis Collection Package,AUG | Snake Pit,1682553786
2023-04-27 00:03:09,1682553789,SF***-Z3EQ,裂空武器箱,P2000 | 盘根错节,1682553789
2023-04-27 00:03:09,1682553789,AS***-YYDQ,反恐精英20周年武器箱,SCAR-20 | 仓库突击,1682553789
2023-04-27 00:03:11,1682553791,AZ***-9HEE,梦魇武器箱,MP5-SD | 小小噩梦,1682553791
2023-04-27 00:03:13,1682553793,AB***-MLXA,Anubis Collection Package,XM1014 | Hieroglyph,1682553793
2023-04-27 00:03:13,1682553793,AM***-4BFG,Anubis Collection Package,XM1014 | Hieroglyph,1682553793
2023-04-27 00:03:13,1682553793,AM***-VJVE,命悬一线武器箱,PP-野牛 | 黑夜暴乱,1682553793
2023-04-27 00:03:15,1682553795,AK***-78NN,Anubis Collection Package,AUG | Snake Pit,1682553795
2023-04-27 00:03:16,1682553796,SB***-ADUQ,Anubis Collection Package,M249 | Submerged,1682553796
2023-04-27 00:03:16,1682553796,SY***-U2TA,Anubis Collection Package,MP7 | Sunbaked,1682553796
2023-04-27 00:03:18,1682553798,SP***-DUXN,Anubis Collection Package,MP7 | Sunbaked,1682553798
2023-04-27 00:03:18,1682553798,AM***-4BFG,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553798
2023-04-27 00:03:18,1682553798,AF***-RRAG,“突围大行动”武器箱,SSG 08 | 无尽深海,1682553798
2023-04-27 00:03:21,1682553801,AK***-78NN,Anubis Collection Package,XM1014 | Hieroglyph,1682553801
